prompt,response,predicted_labels,actual_labels
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<جسی هلمز مخالف اعطای وضعیت دائمی MFN به چین است و آن را پاداش رفتار بد می نامد.><sep><چین وضعیت MFN دائمی دارد.>
<برچسب>:
    ?
",تناقض,تناقض,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<این کالای سرمایه‌ای احتمالا مدتی تحت فشار خواهد ماند.معامله‌گران بازارهای سهام همیشه از سیاست‌های انقباضی که سرمایه در جریان آنها را کاهش می‌دهد بیزارند، گرچه از کاهش ابهام درباره سیاست‌های پولی استقبال می‌کنند.><sep><معامله‌گران خواهان ابهام در سیاست‌های مالی هستند>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<درب اتاق آقای اینگلیتورپ کجاست؟><sep><درب اتاق آقای اینگلتورپ قفل محکم دارد.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,ناشناخته
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<آژانس ها می توانند از طریق IT افراد را از فرصت های موجود باخبر ساخته و یا به کاربران علاقه مند و سازمانهای ذی ربط در مورد اقدامات نظارتی قریب الوقوع هشدار دهند.><sep><آینده روابط آژانس هشدار دادن به افراد با استفاده از استراتژی های فناوری اطلاعات است.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,ناشناخته
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<سوژۀ این باله دربارهٔ شورش برده‌ها به رهبری اسپارتاکوس در روم در سال ۷۱ (پیش از میلاد) است.><sep><شورش برده ها  تاکنون الهام بخش بسیاری از آثار ادبی و موسیقیایی بوده است که یکی از آنها بالۀ اسپارتاکوس میباشد که توسط آرام خاچاتوریان، آهنگساز ارمنی در سال 1954 ساخته شد. >
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<در تاریخ ۵ سپتامبر ۱۹۷۲ اسرائیل در پیامی فوری و محرمانه به سفیرش در بن (پایتخت آلمان غربی) اعلام کرد: «دولت اسرائیل با تروریست‌ها مذاکره نخواهد کرد و توقع دارد که مقامات آلمان هر چه در توان دارند برای نجات گروگان‌ها انجام دهند.»><sep><دو کشور در جلسه ای برای مذاکره در رابطه با صادرات و واردات شرکت کردند.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,ناشناخته
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<بله ، یک ترتیب صحیح وجود داشته است.><sep><کتاب ها به ترتیب خاصی قرار داده شده اند.>
<برچسب>:
    ?
",تناظر,تناظر,ناشناخته
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<هنگامی که مهاجمان به نقاط و مناطق دیگر رفتند، یک کاخ جدید از میان خرابه‌ها و ویرانه‌های شهر همسایه سر برآورد و ساخته شد، اما فقر معماری و اندازه‌ها و ابعاد کوچک آن نشان می‌دهد که منابع و ذخایر موجود در دست آشوری‌ها در کمترین سطح خود بوده‌است.><sep><منابع و ذخایر موجود در زمان آشوری‌ها فراوان بوده است.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناقض
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<ويروس درماه اکتبرگذشته درترکيه کشف شد، اما به انسان ها سرايت نکرد.><sep><دانشمندان ازآن بيم دارند که اين ويروس با تغيير ژنتيکی، انسان ها را نيز مبتلا کند.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,ناشناخته
"هدف وظیفه‌ی استنتاج زبان طبیعی تشخیص رابطه‌ی نتیجه‌گیری بین یک <فرضیه> با توجه به یک <پیش‌فرض> است.
رابطه‌ یا برچسب میان آن‌ها می‌تواند یکی از سه نوع تناظر، تناقض یا ناشناخته باشد.
- تناظر : اگر جمله <فرضیه> به طور منطقی نتیجه‌ای از جمله <پیش‌فرض> باشد
- تناقض : اگر جمله <فرضیه> با جمله <پیش‌فرض> در تناقض باشد
- ناشناخته : اگر رابطه‌ای قطعی بین جمله <پیش‌فرض> و جمله <فرضیه> وجود نداشته باشد و هیچ تناظر یا تناقضی نتوان برقرار کرد

الگوی نمونه:
<پیش‌فرض><sep><فرضیه>
<برچسب>:
    تناقض یا تناظر یا ناشناخته

برای نمونه تست زیر نام محتمل‌ترین برچسب را چاپ کن:
<به خودی خود ، اختلاف هیچ اهمیت آشکاری ندارد ، گرچه توسط نظریه پردازانی گفته می شود که TP در بیش از یک منبع نشت یافته است.><sep><اختلاف مهم نیست.>
<برچسب>:
    ?
",ناشناخته,ناشناخته,تناظر
